index,description,source
7,Angry Orchard Peach Mango Cider 6pk 12oz Cans,TotalWine
7,Downeast Maple Waffle 4pk 12oz Cans,TotalWine
7,McKenzie's Pumpkin Jack Cider 6pk 12oz Btls,TotalWine
7,1911 Blueberry Hard Cider 4pk 16oz Cans,TotalWine
7,Wolffer Estate No.139 Botanical Cider 4pk 12oz Btls,TotalWine
7,Ship Bottom Gingerbread Cider 6pk 12oz Cans,TotalWine
7,JuneShine Strawberry Kiwi Crush 6pk 12oz Cans,TotalWine
7,McKenzie's Pineapple 6pk 12oz Btls,TotalWine
7,101 Cider House 3 Day Weekend 4pk 12oz Cans,TotalWine
7,Woodchuck Pumpkin 6pk 12oz Cans,TotalWine
7,Graft Cidery Field Day 4pk 12oz Cans,TotalWine
7,Ship Bottom Sun Rise Mimosa Hard Cider 6pk 12oz Cans,TotalWine
7,Burnt Mills Cider Company Blackcurrant 4pk 16oz Cans,TotalWine
7,Ship Bottom Cider Donut Hard Cider 6pk 12oz Cans,TotalWine
7,1911 Cider Donut 4pk 16oz Cans,TotalWine
7,1911 Maple Bourbon 4pk 16oz Cans,TotalWine
7,Moonlight Meadery Currant Obs 4pk 16oz Cans,TotalWine
7,Ace Pumpkin Cider 6pk 12oz Btls,TotalWine
7,Beak & Skiff 1911 Cider Donut 4pk 16oz Cans,TotalWine
7,Downeast Blood Orange 4pk 12oz Cans,TotalWine
7,Downeast Orange Creamsicle 4pk 12oz Cans,TotalWine
7,Magners Irish Pear Cider 6pk 11oz Btls,TotalWine
7,Angry Orchard Crisp Apple Cider 1/6 Keg,TotalWine
7,Boochcraft Passionfruit Blood Orange 6pk 12oz Cans,TotalWine
7,Woodchuck Amber Draft Cider 1/2 Keg,TotalWine
7,Angry Orchard Crisp Apple Cider 1/2 Keg,TotalWine
7,Shore Break Hard Seltzer Variety 12pk 12oz Cans,TotalWine
7,Cayman Jack Margarita Variety 24 12ozCan,TotalWine
7,Hard AF Seltzer Variety Pack 12pk 12oz Cans,TotalWine
7,Ace Tropical Variety 12pk 12oz Cans,TotalWine
7,Ace Perry Cider (Pear) 6pk 12oz Cans,TotalWine
7,Ace Joker Dry Hard Cider 6pk 12oz Cans,TotalWine
7,Blake's Hard Cider Cherry Limeade 6pk 12oz Cans,TotalWine
7,Jack Daniel's Hard Tea Variety 12pk 12oz Cans,TotalWine
7,Mighty Swell Techniflavor Variety 12pk 12oz Cans,TotalWine
7,Bishop Cider Ciderdaze 6pk 12oz Cans,TotalWine
7,Bishop Cider Apple Pineapple 6pk 12oz Cans,TotalWine
7,BeatBox Mango 500ml,TotalWine
7,BeatBox Peach 500ml,TotalWine
7,Mighty Swell Cherry Lime 6pk 12oz Cans,TotalWine
7,Bishop Cider O.P. Imperial 4pk 12oz Cans,TotalWine
7,City Orchard Hazy Gold 4pk 12oz Cans,TotalWine
7,Texas Keeper No. 1 Cider 750ml,TotalWine
7,Texas Keeper Heirloom Cider 750ml,TotalWine
7,City Orchard Fresh Picked Variety 8pk 12oz Cans,TotalWine
7,Rootstock Cider Peach Hard 6pk 12oz Cans,TotalWine
7,Real Ale Seltzer Cocktail Margarita 6pk 12oz Cans,TotalWine
7,Destihl Craft Hard Seltzer Variety Pack 3/8 16oz can 8pk 16oz Cans,TotalWine
7,Texas Keeper Grafter Rose 750ml,TotalWine
7,Texas Keeper Goldrush Cider 750ml,TotalWine
7,Rootstock Cider Original 6pk 12oz Cans,TotalWine
7,Ace Imperial Variety 12pk 12oz Cans,TotalWine
7,Ace High Imperial Peach Cider 6pk 12oz Cans,TotalWine
7,Ace High Imperial Berry 6pk 12oz Cans,TotalWine
7,Bishop Cider Crackberry 6pk 12oz Cans,TotalWine
7,Bishop Cider Mai Tai 6pk 12oz Cans,TotalWine
7,City Orchard Fresca Variety 12pk 12oz Cans,TotalWine
7,City Orchard Lavender Royale 4pk 12oz Cans,TotalWine
7,Texas Keeper Auguste Cerise 750ml,TotalWine
7,Tupps BLUR Tropical 12pk 12oz Cans,TotalWine
7,Texas Keeper Noir 500ml,TotalWine
7,Bishop Cider Texas Mas Mosa 6pk 12oz Cans,TotalWine
7,Bishop Cider Tiki Time Variety Pack 12pk 12oz Cans,TotalWine
7,Bishop Cider Pain Killer 6pk 12oz Cans,TotalWine
7,Rootstock Cider Plum 6pk 12oz Cans,TotalWine
7,City Orchard Fresca Variety 4pk 12oz Cans,TotalWine
7,Real Premium Hard Seltzer Melon Cucumber 6pk 12oz Cans,TotalWine
7,Texas Keeper Grafter Blanc 750ml,TotalWine
7,Big Country Organic Blackberry Grapefruit Hard Seltzer 6pk 12oz Cans,TotalWine
7,Texas Keeper Stillage 750ml,TotalWine
7,Blue Norther Hard Seltzer Variety 12pk 12oz Cans,TotalWine
7,Lone Star Seltzer Agave Lime 6pk 12oz Cans,TotalWine
7,Founders Mas Agave Lime Premium Hard Seltzer 6pk 12oz Cans,TotalWine
7,Magners Irish Hard Cider 4pk 16oz Cans,TotalWine
7,Rootstock Cider Hopped 4pk 12oz Cans,TotalWine
7,Woodchuck Amber Draft Cider 1/6 Keg,TotalWine
7,Ace Perry Cider (Pear) 1/6 Keg,TotalWine
3,NUTRL Lime Hard Seltzer 4pk 12oz Cans,TotalWine
7,Strongbow Original Dry Hard Cider 4pk 16oz Cans,TotalWine
7,3 Daughters Orange Creamsicle Vodka Soda 4pk 12oz Cans,TotalWine
7,Schilling Excelsior Imperial Apple Pie Cider 6pk 12oz Cans,TotalWine
7,Woodchuck Amber Draft Cider 6pk 12oz Btls,TotalWine
7,Strainge Beast Fresh Ginger Lemon & Hibiscus Hard Kombucha 6pk 12oz Cans,TotalWine
7,Schilling Moon Berries Cider 6pk 12oz Cans,TotalWine
7,1911 Rose Hard Cider 4pk 16oz Cans,TotalWine
7,Original Sin Hard Apple Cider 6pk 12oz Cans,TotalWine
7,Mike's Harder Lemonade 4pk 16oz Cans,TotalWine
7,Cigar City Homemade Apple Pie Cider 6pk 12oz Cans,TotalWine
7,Original Sin Dry Rose Cider 6pk 12oz Cans,TotalWine
7,Keel & Curley Farms Elderberry 4pk 16oz Cans,TotalWine
7,BRLO Apple Cider 4pk 12oz Btls,TotalWine
7,Caribe Tropical Hard Cider Pineapple 6pk 12oz Btls,TotalWine
7,JK's Scrumpy Organic Farm Cider 4pk 12oz Btls,TotalWine
7,Untitled Art Strawberry Kiwi Hard Seltzer 6pk 12oz Cans,TotalWine
7,1911 Honeycrisp Cider 4pk 16oz Cans,TotalWine
7,Kopparberg Strawberry Lime Cider 4 11.2oz Cans,TotalWine
7,Country Boy Orange Cream Cider 4pk 16oz Cans,TotalWine
7,Woodchuck Amber Draft Cider 12pk 12oz Cans,TotalWine
7,Angry Orchard Tropical Fruit Cider 6pk 12oz Cans,TotalWine
7,Mike's HARDER Strawberry Pineapple 1 23oz can,TotalWine
7,Cigar City Homemade Apple Pie Cider 4pk 16oz Cans,TotalWine
7,Dry Wrought Cider Jalapeno 6pk 12oz Cans,TotalWine
7,Dry Wrought Cider Hops 6pk 12oz Cans,TotalWine
7,JK's Scrumpy Hard Cider 22oz Btl,TotalWine
7,Keel & Curley Farms Strawberry Lime 4pk 16oz Cans,TotalWine
7,Keel & Curley Farms Mango 4pk 16oz Cans,TotalWine
7,JK's Scrumpy Traverse City Cherry 4pk 12oz Btls,TotalWine
7,Fallen Fruit Blood Orange Cider 6pk 12oz Cans,TotalWine
7,Fallen Fruit Dry Hard Cider 6pk 12oz Cans,TotalWine
7,BRLO Wild Berries Cider 4pk 12oz Btls,TotalWine
7,Keel & Curley Farms Pineapple Cider 4pk 16oz Cans,TotalWine
7,Gaztanaga Natural Basque Cider 750ml,TotalWine
7,Cigar City Cider Golden English Dry Cider 4pk 16oz Cans,TotalWine
7,Schilling Variety 12 Pack 12pk 12oz Cans,TotalWine
7,Schilling Excelsior Imperial Pineapple Cider 6pk 12oz Cans,TotalWine
7,Cayman Jack Cuban Mojito 6pk 12oz Btls,TotalWine
7,Smirnoff Seltzer Red White & Berry 12pk 12oz Cans,TotalWine
7,Original Sin Crimson Chaos Cider 6pk 12oz Cans,TotalWine
7,Dry Wrought Cider Strawberry 6pk 12oz Cans,TotalWine
7,Original Sin Pear Cider 6pk 12oz Cans,TotalWine
7,Schilling Chaider 6pk 12oz Cans,TotalWine
7,SUNiCE Variety Pack,TotalWine
7,Schilling Emerald City 6pk 12oz Cans,TotalWine
7,Maeloc Cider Strawberry 4pk 11oz Btls,TotalWine
7,Original Sin Newton Pippin Cider 6pk 12oz Cans,TotalWine
7,JK's Scrumpy Skrumpy Winterruption 4pk 12oz Btls,TotalWine
7,Mike's Hard Pineapple Lemonade 6pk 11oz Btls,TotalWine
7,Keel & Curley Farms Pineapple Cider 6pk 12oz Cans,TotalWine
7,Blake's Mule de Pomme 6pk 12oz Cans,TotalWine
7,Sesh Variety Pack #2 12pk 12oz Cans,TotalWine
7,Willie's Superbrew G.O.A.T. Variety 12pk 12oz Cans,TotalWine
7,Smirnoff Ice Red White & Merry 12pk 12oz Cans,TotalWine
9,Blake's Apple Pie 6pk 12oz Cans,TotalWine
7,Moonlight Meadery Thirteen 5 4pk 12oz Cans,TotalWine
7,Aspall Perronelles Blush English Draft Cider 500ml,TotalWine
7,B. Nektar Orange Cream Delight 4pk 12oz Cans,TotalWine
7,Beak & Skiff 1911 Unfiltered Macintosh 4pk 16oz Cans,TotalWine
7,Magners Irish Hard Cider 1/2 Keg,TotalWine
7,Ace Pineapple Hard Cider 1/2 Keg,TotalWine
7,Cigar City Apple Pie Cider 1/2 Keg,TotalWine
7,Original Sin Black Widow Hard Cider 1/6 Keg,TotalWine
7,Original Sin Hard Apple Cider 1/6 Keg,TotalWine
7,Cigar City Cider & Mead Apple Pie 1/6 Keg,TotalWine
7,McKenzie's Black Cherry Hard Cider 1/6 Keg,TotalWine
7,Vizzy Pineapple Mango 6pk 16oz Cans,TotalWine
7,Smirnoff Vodka Smash Soda Variety 8pk 12oz Cans,TotalWine
7,Vizzy Orange Cream Pop 12pk 12oz Cans,TotalWine
7,Angry Orchard Crisp Apple Cider 12pk 12oz Btls,TotalWine
7,Cayman Jack Margarita Variety 12pk 12oz Cans,TotalWine
7,Cayman Jack Margarita Hard Beverage 12pk 12oz Cans,TotalWine
7,BeatBox 6 Flavor Variety 6pk 500ml,TotalWine
7,Cayman Jack Sweet Heat Margarita Variety 12pk 12oz Cans,TotalWine
7,Mike's Hard Variety Pack 12pk 12oz Btls,TotalWine
5,TRULY Vodka Soda Twist of Flavor 8pk 12oz Cans,TotalWine
7,LoverBoy Cool Classics Variety 8pk 12oz Cans,TotalWine
7,Golden State Mighty Dry Hard Cider 4pk 16oz Cans,TotalWine
7,Mike's Hard Variety Pack Cans Hard Beverage 12pk 12oz Cans,TotalWine
7,Vizzy Vibrantly Tropical Variety 12pk 12oz Cans,TotalWine
7,Bud Light Seltzer Hard Soda 12pk 12oz Cans,TotalWine
7,Angry Orchard Crisp Apple Cider 6pk 12oz Btls,TotalWine
